SBM Graph: 10000 nodes, 297281 edges
dict_keys(['dmv', 'dwmv', 'dvm', 'dlp'])
In community 57 the proportion of [1, -1, 0] 's is [0.28, 0.48, 0.24]
In community 58 the proportion of [1, 0, -1] 's is [0.3, 0.4, 0.3]
In community 59 the proportion of [1, 0, -1] 's is [0.43, 0.16, 0.41]
In community 60 the proportion of [-1, 1] 's is [0.3, 0.7]
In community 61 the proportion of [-1, 1, 0] 's is [0.22, 0.7, 0.08]
In community 62 the proportion of [-1, 1, 0] 's is [0.32, 0.54, 0.14]
In community 63 the proportion of [1, 0, -1] 's is [0.28, 0.26, 0.46]
In community 64 the proportion of [-1, 1, 0] 's is [0.41, 0.31, 0.28]
In community 65 the proportion of [0, -1, 1] 's is [0.37, 0.45, 0.18]
In community 66 the proportion of [1, -1, 0] 's is [0.21, 0.42, 0.37]
In community 67 the proportion of [1, -1, 0] 's is [0.41, 0.51, 0.08]
In community 68 the proportion of [1, -1, 0] 's is [0.56, 0.17, 0.27]
In community 69 the proportion of [0, -1, 1] 's is [0.2, 0.51, 0.29]
In community 70 the proportion of [1, 0, -1] 's is [0.56, 0.16, 0.28]
In community 71 the proportion of [-1, 1, 0] 's is [0.49, 0.4, 0.11]
In community 72 the proportion of [-1, 1, 0] 's is [0.2, 0.48, 0.32]
In community 73 the proportion of [-1, 0, 1] 's is [0.71, 0.11, 0.18]
In community 74 the proportion of [1, -1, 0] 's is [0.32, 0.59, 0.09]
In community 75 the proportion of [-1, 1, 0] 's is [0.45, 0.43, 0.12]
In community 76 the proportion of [1, -1, 0] 's is [0.57, 0.35, 0.08]
In community 77 the proportion of [1, -1, 0] 's is [0.39, 0.24, 0.37]
In community 78 the proportion of [1, -1, 0] 's is [0.41, 0.24, 0.35]
In community 79 the proportion of [0, 1, -1] 's is [0.26, 0.55, 0.19]
In community 80 the proportion of [0, 1, -1] 's is [0.16, 0.43, 0.41]
In community 81 the proportion of [0, 1, -1] 's is [0.28, 0.36, 0.36]
In community 82 the proportion of [1, -1, 0] 's is [0.42, 0.51, 0.07]
In community 83 the proportion of [1, 0, -1] 's is [0.5, 0.07, 0.43]
In community 84 the proportion of [1, -1, 0] 's is [0.28, 0.44, 0.28]
In community 85 the proportion of [-1, 1, 0] 's is [0.36, 0.37, 0.27]
In community 86 the proportion of [1, -1, 0] 's is [0.45, 0.46, 0.09]
In community 87 the proportion of [-1, 1, 0] 's is [0.66, 0.17, 0.17]
In community 88 the proportion of [-1, 1, 0] 's is [0.28, 0.56, 0.16]
In community 89 the proportion of [0, 1, -1] 's is [0.44, 0.32, 0.24]
In community 90 the proportion of [0, -1, 1] 's is [0.21, 0.31, 0.48]
In community 91 the proportion of [1, 0, -1] 's is [0.36, 0.16, 0.48]
In community 92 the proportion of [0, 1, -1] 's is [0.27, 0.33, 0.4]
In community 93 the proportion of [-1, 1, 0] 's is [0.41, 0.44, 0.15]
In community 94 the proportion of [1, 0, -1] 's is [0.64, 0.24, 0.12]
In community 95 the proportion of [-1, 0, 1] 's is [0.54, 0.19, 0.27]
In community 96 the proportion of [0, -1, 1] 's is [0.21, 0.3, 0.49]
In community 97 the proportion of [-1, 1, 0] 's is [0.55, 0.26, 0.19]
In community 98 the proportion of [-1, 1, 0] 's is [0.43, 0.29, 0.28]
In community 99 the proportion of [-1, 1, 0] 's is [0.28, 0.55, 0.17]
SBM Graph: 10000 nodes, 297281 edges
dict_keys(['dmv', 'dwmv', 'dvm', 'dlp'])
In community 0 the proportion of [-1, 1, 0] 's is [0.37, 0.42, 0.21]
In community 1 the proportion of [-1, 1, 0] 's is [0.49, 0.43, 0.08]
In community 2 the proportion of [-1, 1, 0] 's is [0.44, 0.39, 0.17]
In community 3 the proportion of [0, -1, 1] 's is [0.18, 0.38, 0.44]
In community 4 the proportion of [-1, 1, 0] 's is [0.53, 0.35, 0.12]
In community 5 the proportion of [0, 1, -1] 's is [0.17, 0.62, 0.21]
In community 6 the proportion of [-1, 0, 1] 's is [0.55, 0.18, 0.27]
In community 7 the proportion of [-1, 1, 0] 's is [0.53, 0.25, 0.22]
In community 8 the proportion of [-1, 1, 0] 's is [0.32, 0.58, 0.1]
In community 9 the proportion of [-1, 1, 0] 's is [0.18, 0.73, 0.09]
In community 10 the proportion of [-1, 0, 1] 's is [0.4, 0.22, 0.38]
In community 11 the proportion of [-1, 1, 0] 's is [0.49, 0.42, 0.09]
In community 12 the proportion of [1, -1, 0] 's is [0.57, 0.31, 0.12]
In community 13 the proportion of [-1, 1, 0] 's is [0.51, 0.33, 0.16]
In community 14 the proportion of [1, -1, 0] 's is [0.74, 0.21, 0.05]
In community 15 the proportion of [-1, 1, 0] 's is [0.5, 0.41, 0.09]
In community 16 the proportion of [1, 0, -1] 's is [0.35, 0.25, 0.4]
In community 17 the proportion of [1, 0, -1] 's is [0.24, 0.41, 0.35]
In community 18 the proportion of [-1, 1, 0] 's is [0.4, 0.44, 0.16]
In community 19 the proportion of [-1, 1, 0] 's is [0.32, 0.5, 0.18]
In community 20 the proportion of [1, -1, 0] 's is [0.35, 0.5, 0.15]
In community 21 the proportion of [1, -1, 0] 's is [0.5, 0.18, 0.32]
In community 22 the proportion of [1, -1, 0] 's is [0.44, 0.35, 0.21]
In community 23 the proportion of [-1, 1, 0] 's is [0.3, 0.62, 0.08]
In community 24 the proportion of [-1, 1, 0] 's is [0.27, 0.61, 0.12]
In community 25 the proportion of [-1, 1, 0] 's is [0.28, 0.58, 0.14]
In community 26 the proportion of [0, -1, 1] 's is [0.14, 0.27, 0.59]
In community 27 the proportion of [0, -1, 1] 's is [0.2, 0.56, 0.24]
In community 28 the proportion of [1, -1, 0] 's is [0.7, 0.25, 0.05]
In community 29 the proportion of [1, 0, -1] 's is [0.34, 0.24, 0.42]
In community 30 the proportion of [0, 1, -1] 's is [0.32, 0.27, 0.41]
In community 31 the proportion of [1, 0, -1] 's is [0.38, 0.2, 0.42]
In community 32 the proportion of [1, -1, 0] 's is [0.27, 0.39, 0.34]
In community 33 the proportion of [-1, 1, 0] 's is [0.51, 0.3, 0.19]
In community 34 the proportion of [-1, 1, 0] 's is [0.46, 0.46, 0.08]
In community 35 the proportion of [1, 0, -1] 's is [0.44, 0.19, 0.37]
In community 36 the proportion of [1, 0, -1] 's is [0.54, 0.15, 0.31]
In community 37 the proportion of [1, 0, -1] 's is [0.34, 0.11, 0.55]
In community 38 the proportion of [0, -1, 1] 's is [0.35, 0.37, 0.28]
In community 39 the proportion of [0, 1, -1] 's is [0.26, 0.36, 0.38]
In community 40 the proportion of [1, -1, 0] 's is [0.25, 0.57, 0.18]
In community 41 the proportion of [-1, 0, 1] 's is [0.59, 0.16, 0.25]
In community 42 the proportion of [0, 1, -1] 's is [0.26, 0.36, 0.38]
In community 43 the proportion of [-1, 0, 1] 's is [0.62, 0.2, 0.18]
In community 44 the proportion of [-1, 1, 0] 's is [0.54, 0.38, 0.08]
In community 45 the proportion of [1, 0, -1] 's is [0.43, 0.31, 0.26]
In community 46 the proportion of [1, -1, 0] 's is [0.61, 0.36, 0.03]
In community 47 the proportion of [0, -1, 1] 's is [0.13, 0.29, 0.58]
In community 48 the proportion of [0, 1, -1] 's is [0.14, 0.39, 0.47]
In community 49 the proportion of [-1, 1, 0] 's is [0.58, 0.21, 0.21]
In community 50 the proportion of [-1, 1, 0] 's is [0.55, 0.3, 0.15]
In community 51 the proportion of [1, -1, 0] 's is [0.36, 0.46, 0.18]
In community 52 the proportion of [1, -1, 0] 's is [0.26, 0.51, 0.23]
In community 53 the proportion of [1, 0, -1] 's is [0.41, 0.23, 0.36]
In community 54 the proportion of [1, -1, 0] 's is [0.54, 0.36, 0.1]
In community 55 the proportion of [1, -1, 0] 's is [0.47, 0.35, 0.18]
In community 56 the proportion of [1, -1, 0] 's is [0.37, 0.53, 0.1]
In community 57 the proportion of [-1, 1, 0] 's is [0.38, 0.31, 0.31]
In community 58 the proportion of [-1, 1, 0] 's is [0.47, 0.38, 0.15]
In community 59 the proportion of [0, -1, 1] 's is [0.18, 0.53, 0.29]
In community 60 the proportion of [1, -1, 0] 's is [0.34, 0.4, 0.26]
In community 61 the proportion of [1, -1, 0] 's is [0.41, 0.37, 0.22]
In community 62 the proportion of [-1, 0, 1] 's is [0.48, 0.08, 0.44]
In community 63 the proportion of [0, 1, -1] 's is [0.25, 0.53, 0.22]
In community 64 the proportion of [1, -1, 0] 's is [0.45, 0.34, 0.21]
In community 65 the proportion of [1, -1, 0] 's is [0.35, 0.45, 0.2]
In community 66 the proportion of [-1, 1, 0] 's is [0.45, 0.45, 0.1]
In community 67 the proportion of [-1, 1, 0] 's is [0.66, 0.27, 0.07]
In community 68 the proportion of [-1, 0, 1] 's is [0.4, 0.29, 0.31]
In community 69 the proportion of [1, -1, 0] 's is [0.35, 0.49, 0.16]
In community 70 the proportion of [1, -1, 0] 's is [0.46, 0.49, 0.05]
In community 71 the proportion of [0, 1, -1] 's is [0.28, 0.38, 0.34]
In community 72 the proportion of [1, -1, 0] 's is [0.48, 0.47, 0.05]
In community 73 the proportion of [1, -1, 0] 's is [0.31, 0.43, 0.26]
In community 74 the proportion of [1, -1, 0] 's is [0.52, 0.28, 0.2]
In community 75 the proportion of [0, -1, 1] 's is [0.21, 0.44, 0.35]
In community 76 the proportion of [-1, 0, 1] 's is [0.56, 0.22, 0.22]
In community 77 the proportion of [1, 0, -1] 's is [0.27, 0.33, 0.4]
In community 78 the proportion of [1, -1, 0] 's is [0.61, 0.23, 0.16]
In community 79 the proportion of [0, -1, 1] 's is [0.16, 0.57, 0.27]
In community 80 the proportion of [-1, 1, 0] 's is [0.31, 0.53, 0.16]
In community 81 the proportion of [-1, 1, 0] 's is [0.44, 0.46, 0.1]
In community 82 the proportion of [1, -1, 0] 's is [0.34, 0.43, 0.23]
In community 83 the proportion of [-1, 1, 0] 's is [0.44, 0.28, 0.28]
In community 84 the proportion of [0, 1, -1] 's is [0.42, 0.29, 0.29]
In community 85 the proportion of [-1, 1, 0] 's is [0.45, 0.45, 0.1]
In community 86 the proportion of [-1, 1, 0] 's is [0.45, 0.44, 0.11]
In community 87 the proportion of [-1, 1, 0] 's is [0.2, 0.63, 0.17]
In community 88 the proportion of [1, 0, -1] 's is [0.37, 0.27, 0.36]
In community 89 the proportion of [1, -1, 0] 's is [0.3, 0.52, 0.18]
In community 90 the proportion of [0, 1, -1] 's is [0.2, 0.42, 0.38]
In community 91 the proportion of [-1, 1, 0] 's is [0.4, 0.51, 0.09]
In community 92 the proportion of [1, -1, 0] 's is [0.2, 0.61, 0.19]
In community 93 the proportion of [1, 0, -1] 's is [0.55, 0.23, 0.22]
In community 94 the proportion of [0, 1, -1] 's is [0.11, 0.52, 0.37]
In community 95 the proportion of [-1, 1, 0] 's is [0.42, 0.33, 0.25]
In community 96 the proportion of [1, -1, 0] 's is [0.32, 0.58, 0.1]
In community 97 the proportion of [0, 1, -1] 's is [0.16, 0.39, 0.45]
In community 98 the proportion of [-1, 0, 1] 's is [0.17, 0.15, 0.68]
In community 99 the proportion of [-1, 1, 0] 's is [0.38, 0.42, 0.2]
Results for SBM with 10000 nodes and 0.5 probability of an edge inside the community and 0.001 probability of an edge outside the community over 5 SBM graphs.
Inference was done independently on the frontier of balls centered on 100 nodes sampled randomly

 Method dmv :
	 Radius 0 : 
	 Iterations averaged success_rate : 0.39654757387227146
	 Inferred nodes averaged success_rate : 0.3965499848683547
	 Iterations averaged error_mean : 0.9275469294625178
	 Inferred nodes averaged error_mean : 0.9275026060055819
	 Iterations averaged error_std : 1.4932269755145837
	 Inferred nodes averaged error_std : 1.5027329180450648
	 Iterations averaged num_nodes_inferred : 5947.799999999999
	 Inferred nodes averaged num_nodes_inferred : 29739
	 Iterations averaged false_-1 : 0.44993535169497634
	 Inferred nodes averaged false_-1 : 0.4498042108847398
	 Iterations averaged true_-1 : 0.4886892081058596
	 Inferred nodes averaged true_-1 : 0.48877702591186667
	 Iterations averaged false_0 : 0.16083001153842053
	 Inferred nodes averaged false_0 : 0.16075855230540406
	 Iterations averaged true_0 : 0.20068527151048585
	 Inferred nodes averaged true_0 : 0.201806684733514
	 Iterations averaged false_1 : 0.3477026790560168
	 Inferred nodes averaged false_1 : 0.34717344511158943
	 Iterations averaged true_1 : 0.3922623424234595
	 Inferred nodes averaged true_1 : 0.39321472900289617
	 Radius 1 : 
	 Iterations averaged success_rate : 0.3905534828618608
	 Inferred nodes averaged success_rate : 0.3905588105657816
	 Iterations averaged error_mean : 0.9265995194848589
	 Inferred nodes averaged error_mean : 0.9266211887334229
	 Iterations averaged error_std : 1.5584627146949355
	 Inferred nodes averaged error_std : 1.5597419121208793
	 Iterations averaged num_nodes_inferred : 108448.20000000001
	 Inferred nodes averaged num_nodes_inferred : 542241
	 Iterations averaged false_-1 : 0.3896910498630046
	 Inferred nodes averaged false_-1 : 0.38956056695055413
	 Iterations averaged true_-1 : 0.4282538836433734
	 Inferred nodes averaged true_-1 : 0.42852767466949476
	 Iterations averaged false_0 : 0.17434639404477276
	 Inferred nodes averaged false_0 : 0.17410925716783854
	 Iterations averaged true_0 : 0.20333149482705715
	 Inferred nodes averaged true_0 : 0.2042267871178086
	 Iterations averaged false_1 : 0.3981807628739672
	 Inferred nodes averaged false_1 : 0.3976862411206473
	 Iterations averaged true_1 : 0.43920801490816225
	 Inferred nodes averaged true_1 : 0.4399914710992755

 Method dvm :
	 Radius 0 : 
	 Iterations averaged success_rate : 0.39654757387227146
	 Inferred nodes averaged success_rate : 0.3965499848683547
	 Iterations averaged error_mean : 0.9275469294625178
	 Inferred nodes averaged error_mean : 0.9275026060055819
	 Iterations averaged error_std : 1.4932269755145837
	 Inferred nodes averaged error_std : 1.5027329180450648
	 Iterations averaged num_nodes_inferred : 5947.799999999999
	 Inferred nodes averaged num_nodes_inferred : 29739
	 Iterations averaged false_-1 : 0.44993535169497634
	 Inferred nodes averaged false_-1 : 0.4498042108847398
	 Iterations averaged true_-1 : 0.4886892081058596
	 Inferred nodes averaged true_-1 : 0.48877702591186667
	 Iterations averaged false_0 : 0.16083001153842053
	 Inferred nodes averaged false_0 : 0.16075855230540406
	 Iterations averaged true_0 : 0.20068527151048585
	 Inferred nodes averaged true_0 : 0.201806684733514
	 Iterations averaged false_1 : 0.3477026790560168
	 Inferred nodes averaged false_1 : 0.34717344511158943
	 Iterations averaged true_1 : 0.3922623424234595
	 Inferred nodes averaged true_1 : 0.39321472900289617
	 Radius 1 : 
	 Iterations averaged success_rate : 0.38726392594730574
	 Inferred nodes averaged success_rate : 0.38726691637113386
	 Iterations averaged error_mean : 0.9293852786331575
	 Inferred nodes averaged error_mean : 0.9294133051539814
	 Iterations averaged error_std : 1.560280842077302
	 Inferred nodes averaged error_std : 1.5613733466039768
	 Iterations averaged num_nodes_inferred : 108448.20000000001
	 Inferred nodes averaged num_nodes_inferred : 542241
	 Iterations averaged false_-1 : 0.38853116287904105
	 Inferred nodes averaged false_-1 : 0.38841368224183503
	 Iterations averaged true_-1 : 0.42358319065031635
	 Inferred nodes averaged true_-1 : 0.4238558028122657
	 Iterations averaged false_0 : 0.18039893214465771
	 Inferred nodes averaged false_0 : 0.1801659441145397
	 Iterations averaged true_0 : 0.2091970870492328
	 Inferred nodes averaged true_0 : 0.2100876214133926
	 Iterations averaged false_1 : 0.39659152762141553
	 Inferred nodes averaged false_1 : 0.3961201190749936
	 Iterations averaged true_1 : 0.43304515113819836
	 Inferred nodes averaged true_1 : 0.4337898714767247

 Method dwmv :
	 Radius 0 : 
	 Iterations averaged success_rate : 0.39654757387227146
	 Inferred nodes averaged success_rate : 0.3965499848683547
	 Iterations averaged error_mean : 0.9275469294625178
	 Inferred nodes averaged error_mean : 0.9275026060055819
	 Iterations averaged error_std : 1.4932269755145837
	 Inferred nodes averaged error_std : 1.5027329180450648
	 Iterations averaged num_nodes_inferred : 5947.799999999999
	 Inferred nodes averaged num_nodes_inferred : 29739
	 Iterations averaged false_-1 : 0.44993535169497634
	 Inferred nodes averaged false_-1 : 0.4498042108847398
	 Iterations averaged true_-1 : 0.4886892081058596
	 Inferred nodes averaged true_-1 : 0.48877702591186667
	 Iterations averaged false_0 : 0.16083001153842053
	 Inferred nodes averaged false_0 : 0.16075855230540406
	 Iterations averaged true_0 : 0.20068527151048585
	 Inferred nodes averaged true_0 : 0.201806684733514
	 Iterations averaged false_1 : 0.3477026790560168
	 Inferred nodes averaged false_1 : 0.34717344511158943
	 Iterations averaged true_1 : 0.3922623424234595
	 Inferred nodes averaged true_1 : 0.39321472900289617
	 Radius 1 : 
	 Iterations averaged success_rate : 0.3905517865774144
	 Inferred nodes averaged success_rate : 0.39055696636735326
	 Iterations averaged error_mean : 0.9264387316461535
	 Inferred nodes averaged error_mean : 0.9264588992717261
	 Iterations averaged error_std : 1.5577738556352094
	 Inferred nodes averaged error_std : 1.5590125845064269
	 Iterations averaged num_nodes_inferred : 108448.20000000001
	 Inferred nodes averaged num_nodes_inferred : 542241
	 Iterations averaged false_-1 : 0.38977960929021116
	 Inferred nodes averaged false_-1 : 0.3896316676198278
	 Iterations averaged true_-1 : 0.4286004684711494
	 Inferred nodes averaged true_-1 : 0.4288888076212767
	 Iterations averaged false_0 : 0.1745991559595571
	 Inferred nodes averaged false_0 : 0.1743688294655543
	 Iterations averaged true_0 : 0.2035887631589507
	 Inferred nodes averaged true_0 : 0.20445966795074572
	 Iterations averaged false_1 : 0.3977817080794941
	 Inferred nodes averaged false_1 : 0.39726363675912174
	 Iterations averaged true_1 : 0.4387140395921154
	 Inferred nodes averaged true_1 : 0.4395196595698349

 Method dlp :
	 Radius 0 : 
	 Iterations averaged success_rate : 0.39654757387227146
	 Inferred nodes averaged success_rate : 0.3965499848683547
	 Iterations averaged error_mean : 0.9275469294625178
	 Inferred nodes averaged error_mean : 0.9275026060055819
	 Iterations averaged error_std : 1.4932269755145837
	 Inferred nodes averaged error_std : 1.5027329180450648
	 Iterations averaged num_nodes_inferred : 5947.799999999999
	 Inferred nodes averaged num_nodes_inferred : 29739
	 Iterations averaged false_-1 : 0.44993535169497634
	 Inferred nodes averaged false_-1 : 0.4498042108847398
	 Iterations averaged true_-1 : 0.4886892081058596
	 Inferred nodes averaged true_-1 : 0.48877702591186667
	 Iterations averaged false_0 : 0.16083001153842053
	 Inferred nodes averaged false_0 : 0.16075855230540406
	 Iterations averaged true_0 : 0.20068527151048585
	 Inferred nodes averaged true_0 : 0.201806684733514
	 Iterations averaged false_1 : 0.3477026790560168
	 Inferred nodes averaged false_1 : 0.34717344511158943
	 Iterations averaged true_1 : 0.3922623424234595
	 Inferred nodes averaged true_1 : 0.39321472900289617
	 Radius 1 : 
	 Iterations averaged success_rate : 0.3905534828618608
	 Inferred nodes averaged success_rate : 0.3905588105657816
	 Iterations averaged error_mean : 0.9265995194848589
	 Inferred nodes averaged error_mean : 0.9266211887334229
	 Iterations averaged error_std : 1.5584627146949355
	 Inferred nodes averaged error_std : 1.5597419121208793
	 Iterations averaged num_nodes_inferred : 108448.20000000001
	 Inferred nodes averaged num_nodes_inferred : 542241
	 Iterations averaged false_-1 : 0.3896910498630046
	 Inferred nodes averaged false_-1 : 0.38956056695055413
	 Iterations averaged true_-1 : 0.4282538836433734
	 Inferred nodes averaged true_-1 : 0.42852767466949476
	 Iterations averaged false_0 : 0.17434639404477276
	 Inferred nodes averaged false_0 : 0.17410925716783854
	 Iterations averaged true_0 : 0.20333149482705715
	 Inferred nodes averaged true_0 : 0.2042267871178086
	 Iterations averaged false_1 : 0.3981807628739672
	 Inferred nodes averaged false_1 : 0.3976862411206473
	 Iterations averaged true_1 : 0.43920801490816225
	 Inferred nodes averaged true_1 : 0.4399914710992755
